,raw,output,predict
296289,warsinem samu tai mendiro,1,2
226584,cid jaya 150t lapang bola kedawung,2,3
245384,"ud. kurnia, sukama i, cibeunying kaler",3,3
53854,trow iic melong cimahi selatan,2,2
271931,"es durian run tata, pasar dempo,",3,3
244662,pem iii a 4 rawamangun rt 10 2 pulo gadung,2,2
213679,"oxo pusat palangka raya. cv batu suli 5d, jekan raya",3,3
80692,samu pasar madang kota agung (kota agung pusat),2,1
140464,rangkapan jaya swad ii 100 rt 5 16345 pancoran mas,2,2
178098,"sopo del tower, pt shopee internarional, lt 30. kuningan.",1,1
121821,"pangeran karang murni. pt, pegangsaan timur, no 16 rw 5 10320 menteng",3,3
58969,sumb jetis blora kota,2,2
106032,kadidi cokr panca rijang,2,2
136052,merb no 96 jabon banyakan,2,2
102070,kramat utara del raya 71,2,2
268850,"man dua 1, no 9 rw 4",2,2
15712,"sya yoes, toko kelontong sepinggan balikpapan selatan",3,3
19205,"soto dan sate ayam pak djo, wilis, pekalongan barat",3,3
39390,"mts swa al ikhlasiyah, bandar sono",1,1
180873,"pen, 14 jatinegara rt 6 6 cakung",2,2
146315,"pannampu tinu komp pasar pann, d20 tallo",2,2
91238,"emdi guest house, tim ii, no 17 muja muju umbulharjo",0,3
17465,"bumi iii, sawunggaling wonokromo",2,2
262736,"raya pangal, no 384b konex cell,",3,3
109046,purwodadi simp panji sur i 50 65126,2,2
246008,"pid vii, ubung denpasar utara",2,2
233239,"cluster la casa, no 14 warung dzahra",3,1
267658,"cend, no 27 lan bakery & coffee kerobokan kelod kuta utara",3,3
179876,"toko h.u, h. bosih",3,3
21504,"gg. kur 2, 15 binong batununggal",2,2
297557,asrama tni ad kuta alam barak 2 no 11,1,1
24195,desa dorang tapen rt 5 rw 3 nalumsari jepara,1,2
213359,penarukan nasi iii 223 kepanjen,2,2
169634,monu emmy sae iiia tidung rappocini,0,2
115342,kebayoran villas blok d01 kebayoran residence,1,1
61328,"pisok xx, pondok ranji kel.",2,2
1608,"sahara homestay,",1,2
233974,vellis cell raya gist tangg gisting,3,3
22816,surya toserba karanggetas cirebon,1,3
32537,kunci kayu putih pulo gadung,2,2
71209,wid mengwi,2,2
174296,paropo sid ko.go park 1 rt 1 10 90233,2,2
242084,"kampus its  kampus pens , jl. raya its",3,2
254513,cipa raya 4 cipayung rt 10 rw 1 cipayung,0,2
110459,"bukit beri barat, no 38 14 50244 ngaliyan",2,2
155003,penj no 6 siandong larangan,2,2
222968,"klinik aleva farma bar, kotakulon",3,3
267609,"nagri kaler sur, 140 41114 purwakarta",2,2
265008,tampan gg. repe i no 8 28291 payung sekaki,2,2
101443,"mbahe'ne murah, raya jena,",3,2
182103,"mita toko, petak barun no 27 rw 2",0,3
14607,"saw gg. v b, 38 65139 kedungkandang",2,2
131776,biper purwo pangenjuru tengah,1,2
112002,"laun 4 bida, jl. wahab sahr, tanah grogot tanah grogot",3,3
34814,"cindy, pon kel raya, no e9 5 4",3,2
238236,"tanj pura, no 40 pegadungan rt 7 8 kalideres",2,2
1828,jend sudi wangi-wangi selatan,2,2
117168,mengori meng no 69 52319 pemalang,2,2
179032,trans 300 karang rejo jorong,2,1
239411,suko ii manyar sabrangan mulyorejo,2,2
282385,pelepah kuning 1 we 1 nomor 5. masuk dari janur kuning residence  jkr,1,1
52099,"dinuz nidid collec, belim, pakisjajar pakis",3,3
268953,"lhong raya aan kopi 2, st. mali saleh, 23238",3,2
286053,"kali ombo raya no 90 kost bpk safii, kaliombo",3,3
57255,martabak jaka kh zai ari badean bondowoso,3,3
224287,jorong talago laweh nagari sulit air,1,1
209822,"sd negeri 05 surau gad, berok raya surau gadang",3,3
246384,"koto bungsu kam hilia, baso",1,2
15938,batursari dale i 5 mranggen,2,2
193430,jl. kh. noer ali jl. raya kal 89 jakasampurna rt 1 16,2,2
153785,balj spa pangk jati vi a,3,2
93920,kol 73 kebumen kebumen,0,2
212737,sunter agung sun agung utara d7 no 4 rt 3 18 14350 tanjung priok,2,2
201941,"toko tropen, m boya tembilahan kota",3,3
278528,kepanjen lor teng no 15 66117 kepanjen kidul,0,2
214484,"setra indah, sukajadi",2,2
78697,nusa indah i 9 kebon pala rt 13 9 makasar,2,2
256394,"mas nurul iman, cimandala",1,1
31337,"kantor lurah japanan, japanan",1,1
167554,"dpc spn kota cim, nanj, cimahi selatan",3,2
118382,"ud. putri jaya setro baru iii, tambaksari",3,3
294276,"h. o. s. cokr no 55 metro10 got royong, larangan utara larangan",3,2
170671,"kena, 50 rw 1 bintaro kel.",0,2
258848,"mojolangu soek hatta, 232 lowokwaru",2,2
169250,cana i 33 kelapa dua,2,2
7251,tembingkar kiri 20 pemurus dalam banjarmasin selatan,2,2
289914,ketapang tanah putih per 02 15147 cipondoh,0,2
185381,jl. udayana no. 16 c depan kantor pln singaraja,3,3
143182,"war angk, 1 ilir ilir timur ii",1,3
185280,"wonorejo wono per, 95 4 rungkut",2,2
204033,jat barat 1 92 bali mester rt 2 rw 4,2,2
117160,"dehan salon, sumber karya taman",3,1
277467,bangkel motor om batu penyu gantung,1,3
239920,gg. sar i 8 pulo gebang cakung,2,2
140233,"taman pendid al qur'an miftahus sibyan,",1,1
65473,"tiara motor, kapuk kamal raya, kamal muara kalideres",0,3
128252,"tk aisy bust ath, tid 3 seta 1, rappocini",3,3
239549,gg. setu no 40 59117,2,2
137681,kur 6 labuh baru timur payung sekaki,2,2
25075,"wiras,",2,2
104980,"ah nasu, yosodadi kel. metro timur",2,2
69995,"wisma malabar jl.malabar no.f1 karang pawitan, karang indah (sebrang kantor bkkbn)",3,3
175305,"layur, jati pulo gadung",2,2
43384,plosokerep suren no 11 sanan wetan,0,2
262349,taman pendid al qur'an fii sabili bener tegalrejo,1,1
295620,gubuk masjid kelurahan: korleko,1,1
194151,"urip sumoh, no 36",2,2
196465,"bakso bera rum, sembi limbungan rumbai pesisir",3,3
115348,"bha raya, no 10 cipadu jaya rt 3 3 larangan",2,2
110399,pendrikan kidul nak ra 2 2 semarang tengah,2,2
185693,"sweet juice, pang hidayatullah,",3,2
133976,"percet ummi grafika, per, medan timur",3,2
89712,"green cipedak townhouse. jl. persahabatan vii no.129, cipedak, jagakarsa",3,2
274976,tump raya bendan ngisor gajah mungkur,2,2
118072,kepo mejasem barat,2,2
94094,kebayoran lama selatan bint raya 46 10 12240 kebayoran lama,2,2
204925,"rah collection, manun xvii,",3,3
200813,singo joyo ngenep karangploso,2,2
219936,"salero dodoku ali, dekat lapangan sunyie lamo",0,1
212305,"ban x, maharatu kel.",2,2
30460,babakan bur 16 16128 bogor tengah - kota,2,2
153049,cemp 11 21 jatisampurna rt 8 13 jati sampurna,2,2
126484,"tk fit ins, raya jumo jumo",3,3
191982,gun anyar jaya iii 65 gunung anyar gununganyar,2,2
153615,"batu merah, no 22 rt 5 rw 2 pejaten timur kel.",2,2
44920,"usaha baru, wr. supra, pekalongan utara",3,3
236314,"pt. dfi asia ene damai, 22 1",2,3
129833,kang no 6 cipulir rt 14 rw 8 kebayoran lama,2,2
242836,"bank rak indon, kus, dumai timur",3,3
202801,"kilu permai jl. nyiur melambai no.4, paniki satu lingk. v",3,3
170946,dr. cipto mang 63 keniten ponorogo,2,2
80031,perkamp kapuk kapuk cengkareng,2,2
236903,"kantor notaris abdul gani makhrup sh mkn, tgh umar,",3,3
135532,gang angg berkoh purwokerto selatan,2,2
262361,ahmad yani 82 68164 puger,2,2
166256,citra 6 mangunjaya tambun selatan,2,2
233446,"kamp batu, no 16 batang arau padang selatan",2,2
103562,"batu besar hang kesturi, 6 nongsa",2,2
165321,jln.suryakencana 1 no.27 desa nagrak (rumah makan teh ica),3,3
19513,smp mutiara bang,0,1
209214,muara baru blok: i no rumah: 24 rt rw:016 017 kel; penjaringan,1,1
171113,komplek de marrakhes jl raya derwati no 24 rt 04 rw 04 yayasan luqman nur hakim,3,3
19453,kamp bali ix no 47 kampung bali rt 9 rw 9 tanah abang,2,2
299144,dayah mabd ulum timur lamtemen jaya baru,2,2
251618,"kelas pagi, panc timur, pancoran",3,2
184719,"sahip b desa ked,",2,3
77140,pang sudi doropayung juwana,2,3
13030,belitung selatan jl. s par 9 rt 3 70123 banjarmasin barat,2,2
125519,kunciran jawa iii 6 rt 6 6 pinang (penang),2,2
196435,teluk sam pabean cantikan,2,2
158427,kopo cir no 550 margasuka babakan ciparay,2,2
96163,"k h has ash no 26 ariedo helm, tumenggungan lamongan",3,2
95230,"nasi pecel bli, wars,",3,3
116899,kemu i gebang raya periuk,2,2
290653,cisampih pala ciman jatigede,0,2
214391,"r. a. a. mar, no 11",2,2
4066,"desa sungai ning dusun jembatan 2, (mohon hubungi customer)",1,1
5151,"sinar maju furniture, percetakan neg 11a, rawa sari",3,3
101292,gotong roy,2,2
105207,"ptanu cemerlang best, gar,",3,2
166873,"dinas pendidikan kebuda wringin, wringin",1,3
219886,kebon kos 7 130b 10,2,2
287003,dago dago asri raya 2c coblong,2,2
225786,"asia inti utama pt, guntur setia budi",1,3
293298,"irida barat xxv,",2,2
70451,"tirta bougenville no. 27, graha tirta, waru",1,3
201908,"ayu bakery brownies, dinar mas 8 meteseh",3,3
38322,haji brit no 9 rt 6 10 11620 kembangan,2,2
21540,"pasar rumput lantai2 nmr352,353",1,1
73089,"maos - solo, 189 57212",2,3
85011,sukapura tipar caku gg. h. malik 44 rt 8 3,2,2
56966,mas jamik nurul iman,1,1
52351,"jelutung guru much, 47 36124 jelutung",2,2
41874,jln.karangrejo selatan rt 04 rw 07(taman kampung jahe),3,3
214157,"kima atas gand t, 15 mapanget",0,2
147885,gg. kecu 9a 10 tanah kali kedinding kenjeran,2,2
245792,perum cikarang baru merak x1 b l3 16 cikarang baru cikarang utara,1,2
11834,marga jaya 13 margahayu rt 7 17 bekasi timur,2,2
22,"tam asri, gg. 7 16 6 morokrembangan krembangan",2,2
281489,ir. haji jua 99 gumilir cilacap utara,2,2
106628,catte bu nini blimbing,1,3
179888,"pekan tanjung pura pt. alam jaya wira sentosa, tanjungpura",1,3
271010,amp raya pagambiran ampalu nan xx lubuk begalung,2,2
187492,komplek pertokoan rejom ikh magersari magelang selatan,3,1
229133,"petemon barat 91a bakso dag sapi gendut, rw 2 sawahan",0,2
214088,perum fajar gedongan adenium 1 no : a. 10 rt4 rw9 tugu bata klodran colomadu 57172,1,1
286672,warungkiara hali warung kiara,2,1
280551,anug 58 rt 2 rw 6 jatiasih,2,2
12882,kondangjaya palem botol 41371 karawang timur,2,2
26691,pojok sela 92 setiamanah cimahi tengah,2,2
220991,"otto tai, anu",3,2
133095,"superex raya. pt, pem 1, batuceper",3,3
202085,lay barat 152 52111 tegal barat,2,2
173687,komplek zeni no 46 rt 003 rw 004,1,1
60094,"komp ptb duren sawit,",2,2
27306,gg. ken ii no 27 sumurpecung serang,2,2
230600,"warung makan risqy barokah, prambatan lor",1,3
42460,"jatirasa camar, a17 44 rt 9 rw 13 17424 jatiasih",0,2
173318,"insp cen dra, no 77 rawa buaya rt 6 12 cengkareng",2,2
40798,tanggung cisanggiri 64 66115 kepanjen kidul,2,2
51723,"marga mulya ta wan boule timur, 17126",0,2
115254,situ no 2d rumah makan amp bujang,0,3
69416,"grand kali hills, jend gatot subr kalibagor",2,3
235139,"bengkel las gad serp lippoka, legok",1,3
186323,"ban seng, kedai har bela jaya,",3,3
268314,"riau, no 20 tanjungpinang barat kel. tanjung pinang barat",2,2
75612,tanj barat raya 168 tanjung barat rt 3 4 jagakarsa,2,2
186747,cluster mutiara babelan blok a nomer 7,1,1
106900,"rambung dalam letj jam gint, 113 20734 binjai selatan",2,2
290847,"gang ali sarbi, no 3 rt 7 9 kramat jati",2,2
272294,"rm bungo tanj, lin sumatera-bukit kemu bukit kemuning",3,3
44668,jln. veteran no. 8 transmart mx malang lantai 3 (oss div),3,3
77772,"ment vii, medan tenggara medan denai",0,2
108554,"warteg lancar jaya, kapten halim, no 160 sindang kasih purwakarta",3,3
119306,gela 261 rt 2 2 manggarai tebet,2,2
60236,meruya selatan alam barat no 24 kembangan,2,2
100948,layur 20 jati rw 11 pulo gadung,2,2
224779,wathon 21 penggilingan rt 4 8 cakung,2,2
161553,mall taman anggrek kantor his travel lantai p2,1,1
107052,"dr sut, wenang",2,3
6768,tlogomas kel. bukit hijau blok b no 27,2,1
135725,"wanasari nak, 19 rt 4 3 17520 cibitung",2,2
118875,"pos pemadam kebakaran renon, renon",1,1
112866,"cemp raya, 78 rt 5 11 pesanggrahan",2,2
286492,"iria, cemp raya jaka sampurna",3,2
203961,kepil wono - purwo 287 kepil,2,2
181321,"mbok berek ny triwidayati, patar 52362 petarukan",3,2
73835,pasu kota kulon garut kota,2,2
201374,pasar tradisional sen city ruko baba mad citaringgul babakan madang,3,3
152740,"jc studio, tegal sari raya, tangerang",3,2
163889,"maje taklim nurul amaliyah, pallangga",1,1
120147,pulau irian jaya raya peru iii no 50 aren jaya bekasi timur,0,2
175478,"alat sablon kaos,",1,2
142254,wr supra no 11 purwotengah magersari,0,2
62279,peru raya kelapa dua,2,2
52847,komp pu 35 balikpapan selatan,0,2
194559,wij kus raya cilendek barat bogor barat - kota,2,2
50099,"hira cell, tri brata, 10 55222 gondokusuman",3,3
248068,"sul badar 2, susunan baru tanjung karang barat",2,2
72271,toko rahmad jaya kehiran jalur 5 atas blok b sentani,3,1
1036,insp penjaringan penjaringan,2,2
292227,nn 12 poris plawad indah rt 1 8 cipondoh,2,2
297772,"toko alat tulis, prambon",0,1
268516,rawabadak utara rawa i 14 rt 6 8 14230 koja,2,2
89352,"komplek puri citra blok c2 no 2 rt 023 006 pipitan,walantaka,serang,banten",1,1
92763,citamiang citam 53 43153 kadudampit,2,2
253847,"kb-tk quan kh agus salim, bekasi jaya bekasi timur",3,3
36209,pesan 94 timur jurang manggu pondok aren,2,2
16879,kp. ciherang rt 021 rw 007 desa karang satu (dekat jembatan ciherang),1,1
203386,kebu 11 gembor rt 1 8 periuk,2,2
92818,"baksoku cabang, kh ahmad dah",3,2
218736,wono no 76 gunung samarinda balikpapan utara,2,2
69338,"ged kiwo, gedongkiwo kel.",2,2
255469,gem sari gempolsari bandung kulon,2,2
183570,gunung sari min upa no blok l.15 6 rt 5 8 90222 rappocini,2,2
24150,jl. muja- muja muju umbulharjo,2,2
227456,"k. h abdul halim panca her majalengka, majalengka",3,3
96776,puc rine 63 kertajaya 3 gubeng,2,2
214091,"kit jaya motor, medan batang kuis",0,3
184556,kay asri residence raya pasar kec no 71 17444 pondok melati,3,1
63937,kampung tengah smp 126 no 101 rt 2 3 13520 kramat jati,2,2
196991,"pin sori 3, no 23 padang utara",2,2
111104,"pesona perm gad 2, bluru kidul kel.",2,2
101481,kramat jati cilil besar no 101 3 13510 kramat jati,2,2
109334,"sd islam nw koata, paokmotong- masbagik",3,1
277859,bojong rawalumbu rt005 rw04 kel.bojong rawalumbu kec.rawalumbu,1,2
100203,"jend ahmad yani, 782 cicaheum kiaracondong",2,2
248839,drumband jogja,1,2
100963,"eka jaya 2 raya mauk, no 50 sepatan",0,2
290935,"nas, ratu sia, 3 ilir",0,2
101763,a.m sang 17a petojo utara rt 8 3 gambir,2,2
235631,dadirejo kel. wir 138 51151 tirto,2,2
148778,radio 55 rt 3 rw 5 cipedak jagakarsa,2,2
243830,"sushi knight, bek timur 2, 2 4 jatinegara",3,2
201790,"tiki, raya sat jaya 15",3,2
208631,bak trieng lapa bola 24411 krueng barona jaya,2,1
5309,"mi swa 05 botta, 91996 suli",1,1
209332,jatirangga lur namat 8 rt 2 5 jati sampurna,2,2
277888,"cris, 22 rt 7 13 grogol utara",2,2
83373,bangunharjo sala jota no 224 55153,2,2
278995,"ahmad yani, no 12 agung cell, cikole",3,3
269149,jl. beli ciwaduk cilegon,2,2
259693,sukaluyu jl ruko kara green vill no 33 41361,2,2
117941,"jl. seroja 1 10a cengkareng barat, sumur bor -jakbar 11730",1,3
296528,bongkaran penga i 19 rt 3 rw 10 pabean cantikan,2,2
177717,darat sekip sad 11 pontianak kota,2,2
114259,rengas kra no 45-46 10 15412 ciputat timur,0,2
222813,idi tunong,0,2
22367,jakas no 89 rt 1 rw 18 jaka setia bekasi selatan,0,2
117795,amp i 3 pademangan barat rt 1 9 pademangan,2,2
142902,mekarsari mush 72 rw 10 16452 cimanggis,2,2
44073,krandegan vete 10 53474,2,2
212756,cv wira must indah,0,3
203373,"pet utara 1, no 9d 3 petojo utara kel. gambir",2,2
236822,ciledug kulon raya ciledug 12 ciledug,2,2
136723,ciman iv 19 jatireja cikarang timur,2,2
183727,"jnt jalan pramuka km.6 samping bee hotel , diambil sendiri ke jnt pramuka",3,3
84775,tanjung rejo jl. setia budi 50 20154 medan sunggal,2,2
253698,pondok pesantren kempek blok kedung dringo ds palimanan barat,1,1
193794,"jati karya hokben, alt cibu, no 8 17435 jati sampurna",3,2
195123,"kapas madya kali, no 98 gading rt 1 rw 17 tambaksari",2,2
55536,"utara raya toda, 16a 58256 todanan",2,2
15413,"duri 5, jatiwaringin rt 15 13 pondok gede",2,2
209555,"raya lon, lontar sambikerep",2,2
264363,"kalia ten, no 3",2,2
52308,sawunggaling wono kidul v 26 rw 4 60242 wonokromo,2,2
295680,jl. arus 7 cawang rt 9 2 kramat jati,0,2
218701,war pojok semanan kalideres,2,3
32650,"indomaret, brig kata, gondomanan",3,2
216124,kemb molek kembangan selatan kel.,2,2
243606,garden dian regency jl. raya taman bunga no. 23-25 (klinik rbeauty),3,3
155457,nusan 3a rt 14 13 tanjung priok,2,2
85606,"kecu raya, sawah baru ciputat",2,2
88494,gg. 19 mintaragen tegal timur,2,2
12856,"pelita vi,",2,2
220650,"bukit indah i, 105f",2,2
183450,batu tum jaticempaka pondok gede,2,2
70690,"clean dan clean crys, kelapa dua",3,1
274631,"perm saf rege, sepang kel. taktakan",2,2
277286,cis lama 12c,2,2
43186,"kra jaya iii, kramatwatu kel. kramatwatu",2,2
217004,ciu,2,2
39031,"islam tela al maghf, ramb,",3,1
297872,subur ujung 23 15 setia budi,2,2
86411,reyn cell sukodadi,0,3
107402,bet ayam laku 1 sidak,3,3
10922,dr. harma zal spb,1,3
255864,"warung semb zyfa, katel, no 98",3,3
28013,"toko lira, kus sari, no 87b kujangsari",3,3
164553,warung pangsit wendi,1,1
118460,"alamat : kp.lebak jero, rt02 rw011, desa. ciherang, hubungi nomor nya",1,1
266017,raya stpi curug no 25 curug,2,2
87690,"karly salon, syech yusuf, mandonga",3,1
202180,musholla wakaf babus salam pesantren,1,1
151145,"bung karno, jl asia afrika no 8 gelora tanah abang jakarta",3,3
110239,oti 96 kuningan kuningan,2,2
253525,"usaha baru ibu 2,",1,3
79270,puter ii no 29,2,2
159911,"agen pakan supe dan terranova melati 3,",0,1
202758,"tgh umar no 123 paud terpadu ays bustanul, selong",3,3
197135,telin 13 muara rapak balikpapan utara,2,2
170583,"pemandian air panas cisolok. jl. cisolok-cipanas, cisolok, sukabumi, jawa barat.",3,3
249814,rawa domba no 44c 16,2,2
73881,jawa raya no 11 jatiranggon rt 5 27 jati sampurna,2,2
3057,kebant v no 4c semper timur rt 7 2,2,2
228288,"smp lpp umi,",1,1
162272,pene 3 pejuang medan satria,2,2
174007,kali no 4 rw 1 pekayon kel. pasar rebo,2,2
200864,"wonok viii, 24 gunung sari 5 dukuh pakis",2,2
19823,dhory multifinance dan tra lubuk besar,0,3
66286,"kampung bugis, angin mamiri, gunung sari rappocini",3,2
146299,ciherang cipu gugah sari rt 1 2,0,2
33958,"dr. edy nur rach sp.pd,",1,3
47056,"toko charisma bird, raya serang-pan,",2,3
75029,jat ubud ubud,2,3
19850,"sopo del tower,ekiben eleven bar",1,1
263372,"metro pon indah no 101b domi pizza, rw 3 pondok pinang",0,3
109909,"palem per, pondok aren pondok aren",2,2
204271,sura 206 banjarjo padangan,2,3
208220,ceng gedong meneng rajabasa,2,2
8699,sungai lulut sema 5 81 banjarmasin timur,2,2
147971,gaga semanan cipondoh,2,2
17014,"mts n ngawen, ngawen",1,1
137164,raya siliw bojong rawalumbu rawalumbu,2,2
200990,"kebon kac 6, no 34 6",2,2
278768,mang no 12,2,2
189414,"juliana sport, raya cianj, warungkondang",3,2
153950,polewali poros maj - mamuju 16 polewali,2,2
195993,pasar rumput blok a loo aks 606,0,1
64235,"penga ali, 113 6 ciracas",2,2
255569,bunga ram x 6 6 malaka jaya,2,2
109561,bumi daya nusantara. pt,1,3
52716,gar batujaya batuceper,2,2
243827,merah mersa lebe kader 212 24519 lut tawar,2,1
10324,"raya inko, tajurhalang",2,2
190433,cik barat 1 no 6 cikoko 3 pancoran,2,2
264488,"sepat raya, no 224 bekasi selatan",2,2
299632,"ahmad yani, 60 taman baloi kel.",2,2
13327,tipar pem ii no 54 43141 citamiang,0,2
198024,"duri kepa g e, 38 rt 6 8 11510 kebon jeruk",2,2
33133,elang i 10 jelutung jelutung,2,2
150182,man raya 60 rt 5 2 cibodasari cibodas,2,2
40420,"sd neg 3 kuwu, surojenggolo kuwu kradenan",3,1
125075,"jl teru moch ali, pamoyanan",2,2
33464,"bubur ayam panen raya, kem 4 pamulang",3,3
113146,"patti, no 92 toko al hijrah, kudus kota",3,3
224837,cer 366b caturtunggal depok,2,2
230024,wisata bukit mas 2  h2-29,1,1
48310,"rama motor, pahlawan revo klender",3,3
84958,"jalan ahmad yani dalam no.50, depan taman vertikal dinosaurus, fotocopy nizar",3,3
86745,"bank rak indonesia,",1,3
236221,ra pasar min pasar minggu pasar minggu,2,2
205576,"mas sman purwan, raya purwan, biting purwantoro",3,3
297375,kedungwuluh jalur purwok - gumi 53131 purwokerto barat,2,2
199889,kp.lebak jero 03 11 ds.ciherang kec.nagreg kab.bandung,1,1
17168,"pira cang perd pt, nga jaya sela v,",3,3
106590,"r. a. kart, no 41 azzam, rw 7 cilandak",3,2
194616,"purwasari kel. pap v, purwasari",2,2
37258,bu ani raya sukam,3,3
27829,badak sukamenanti kedaton,2,2
185698,"pulau karam, no 159 tunggal persada, padang barat",3,2
46544,"kese,",2,2
44426,gg. mas dalam 1 roban singkawang barat,2,2
152486,"par kuda, langensari kel. parung kuda",2,2
213297,al-madina tours dan tra,1,1
205188,maja ceger kel.,0,2
134313,"raya singar, ud sari murni,",3,3
277186,"gang mulia, sepinggan kel. balikpapan selatan",2,2
274938,"tern, 13 kaligelang taman",2,2
186044,tatura utara tanj kar 36 94111 palu selatan,2,2
126378,"man, mangir banyuwangi",0,2
198651,bumi 8 no 16 gunung sari rappocini,2,2
204068,"jl. suda supr gg. iia, sukun",2,2
176294,masjid al-ittihad,1,1
117027,"meranja agung, rm hikmah dua,",3,3
5415,"pt. bpr dian bina, suka hatta",2,3
195913,nno zone gung leto,1,2
220918,taman med 29 kelapa gading barat 5 kelapa gading,2,2
235034,"a m sang, 38 advokat & penas hukum lutfi san & rekan,",3,2
141303,"salon intan, let suprapto, no 224",2,3
30229,aries tailor flo baru trayeman slawi,3,2
202070,pegangsaan dua gad indah iv 35 rt 11 12 kelapa gading,2,2
93202,manggungjaya kope sejah bang 23 rajapolah,2,2
96443,jln raya tlogomas no 10 b malang (depan terminal landungsari) rt 05 rw 07,1,3
254274,taman cala vii 22 17125 medan satria,2,2
93682,ramin raya 2 sukamahi cikarang pusat,2,2
52649,meruya utara kemb kenc 148 rt 7 2 11620 kembangan,2,2
248403,"bali senang tour serv, h. o. s. cokroam, denpasar utara",3,3
14701,garuda indonesia ticket sales office depati amir airport,1,3
3786,"pembangunan no 12a batu selicin grand batam shop centre #03-10, lubuk baja",3,3
119114,h.m. ali cakung barat cakung,0,2
182879,"mocha toha, karasak astana anyar",2,2
275801,peg timur pegangsaan menteng,2,2
248015,yayasan lemb bant hukum pembela keben nusantara matr raya kebon manggis,3,3
258844,jati warung supratman 61 mayangan,0,3
78268,kelapa dua wetan raya pkp 11 8 ciracas,2,2
57447,parung serab cendrawasih 34 rt 3 rw 7 15153 ciledug,2,2
137320,rafles hills blok m3 11 sukatani,1,1
81354,"widi ning,",1,2
111680,dusun kara rt 2 4 sukarapih sukasari,3,2
51392,manun bakti ii 23 kebon pedes rt 3 2 tanah sereal,2,2
99998,"duduk samp, no 19",0,2
177622,p. ach sla riy klegen,3,3
236626,"jl.tole iskandar no.18 (depan giant bbm) chib chib taiwan snacks,depok,sukmajaya,kota depo",0,2
84254,ndari ahmad yani,3,3
24086,taman arengka perumahan surya graha blok ee no 6 rt rw: 7-11,1,1
246217,"spbu, raya seririt-gilimanuk",3,2
53658,"peternakan ayam gerbang seng, pamar, dukuh",3,3
201198,karangturi jambe 300 2 semarang timur,2,2
141814,"pem teng kapuas, padang harapan",3,2
217997,"raya bondo putri wulandari, prajekan",0,3
265291,"toko airil,",1,1
6750,jln kebun raya bali gg.rosela lingkungan masjid al hikmah,3,3
295926,"gunung sari bumi 2, 14 rappocini",2,2
40901,koko tegalreja cilacap selatan,2,2
216487,"ciw raya, serang",0,2
93995,"toko kenanga, raya kopo-so, cilampeni",3,3
170804,"kelompok bermain paud rayd jannah, labuan",0,1
5820,tanimulya perm cim ii no 1 ngamprah,2,2
12917,setia jaya iii no 44 jelambar baru rt 9 8 grogol petamburan,2,2
239421,"raya panim, ceriamart r111 pandegl, panimbang",3,2
256248,"atm mand, yos suda,",2,3
196102,"gang datuk,",2,2
198590,cicadas tekstil 56 40121 cibeunying kidul,2,2
202272,cilandak barat rumah sakit fatma no 3 9 12430 cilandak,0,3
228318,raya peru sukamelang kel.,0,2
194723,"sinar muti, aren 2 no 25",2,2
97059,"ia comp bangsa, bangsalsari",1,2
249651,setra dago utara ii,2,2
119470,"ropang kena, kena,",3,2
113618,mekar 4 pasar rebo,2,2
172667,"bandi, raya solo purwo, ngandul",3,3
56171,nga tirto v 59 rt 8 3 ngagelrejo wonokromo,0,2
8171,"musholla bai roh tj.anom, prambon",0,1
67742,gg. murai v baturetno banguntapan,2,2
107546,bambu apus raya 77 rt 12 rw 3 cipayung,2,2
62565,"psr swalayan saud i, soek hatta, tahunan",3,3
107442,penatih sek 11 80238 denpasar timur,0,2
240379,"clama indonesia pt, bant 4, nageri kidul",3,3
6780,"megah sentosa, gun jati, no 77 mergangsan",0,2
278437,"es dur run tata cab.4 palembang pipa reja, 30114",3,3
267838,jojo v timur mojo gubeng,2,2
152405,"vidi statio man dua raya, no b 30 rw 5 pademangan",2,2
136518,patti iii 33 sengon jombang,2,2
30430,bot i 29 magelang magelang tengah,2,2
139219,jln raya narogong pangkalan 7 desa limus nunggal patokan masjid sama indomart,3,3
165907,"repex perd international pt, dobi vi, 2",3,3
142162,tangga takat kh. azh 457 seberang ulu ii,2,2
41866,"taman tera i,",2,2
159758,"pt emsonic indonesia,kawasan industri mm2100 jl. timor, jatiwangi",3,3
137515,"jan kra barat ii, 417 jatingaleh 3 candisari",2,2
16850,"sak iv, 1 salon rani, dangin puri kangin",3,3
276288,komp bapp siaga raya 86 pejaten barat rt 2 6,2,2
297091,"sume, katelan tangen",1,2
98565,"soka, pt bo myung indonesia,",3,1
187322,klinik eng waras hus abung surakarta,1,2
252054,"perum man, gunung guruh",2,2
279140,vete 96 ngrowo bojonegoro,2,2
100280,"zone billiard g spo, gajah mada, gunung pangilun",3,2
33497,hal 36 labuang banggae timur,2,2
241260,"utan kayu selatan oyot 1, 23 rt 7 rw 10 matraman",2,2
228404,"cluster puri permata 1 blok d23 rt 02 rw 015, larangan selatan (patokan dekat habib novel)",1,1
291194,arafah tanjung tualang,1,1
201496,shopee lt. 30 sopo del tower,1,1
47177,"mt sabi salam,",1,1
82221,tanj paku 6 27317 tanjung harapan,2,2
204317,"didin iba, sungai luar batang tuaka",3,2
217304,bima ii kajen rt 7 kajen,2,2
149964,"bers, t e m b u n g kel.",2,3
141530,"war soto bu tati,",1,3
