,POI,hash_raw_address
82029,bidan anik purwani,bidan anik purwanti jeruk
82039,wartel 3 as-106,warung 3 as 106 sumedang utara
82050,setia fotokopi,setia foto taman pahlawan 
82082,kampung kb potrobawan kokosan,kampung kb potrobawan koko 
82093,madrasah ibtidaiyah swasta (mis) salafiyah,raya melu madrasah ibtidaiyah swasta mis salafiyah 
82097,umroh dgi bengkulu,umroh dgi bengkel raya bengkulu tais sukaraja
82101,sahwan,sahara desa ban banyumulek labuapi
82104,depot santoz,depot sandal raya wonogiri sumbergempol
82139,calon trending,calon tren pahat cakung
82142,gapoktan sawargi,gapoktan sawahan raya wana wana sari wanayasa
82155,pinggir setu ciseeng,pinggir setu ciseger raya haji usa putat parigi mekar
82181,pt. take united indonesia,pt take united indonesia h r rasuna said kuningan timur
82198,iq. mahmudah,iq mahmudah desa lend nangka utara
82215,toko semarak2,toko semarang permata raya 
82220,latant plaza,lat plaza 1 pisang selatan ujung pandang
82247,masjid as-sholihin,masjid as sholeh sengkerang
82258,pangkas rambut alinda,pangkas rambut ali haji bosih wana sari cibitung
82264,marohan's sweet home,marohan sweet home nasional22 purwokerto
82276,"kantor notaris edison sm sinaga, sh",ahmad yani notaris 234 kantor notaris edison sm sinarmas sh siantar timur
82279,ternak ayam gun,terang ayam gunung 
82307,idm ttol anjasmoro e 1,tawang rejo raya 1 idm ttol anjas e 1 rw 4 semarang barat
82318,pempek wongkito 19,pempek wong 19 cihanjuang notaris 104 cimahi utara
82328,hanifa,han asem raya asemrowo
82333,ud karmawati,ud karma duri masjid raya kebon jeruk
82363,mm antique store,mm anti store raya puncak cisarua 
82380,sd negeri rawasari,sd negeri rawa
82383,apartemen gunawangsa tidar,tidar 350 tembok dukuh apartemen gunawarman tidar rw 5 bubutan
82391,javacom,java kalia tengah 1
82414,pt. sutera permai,pt sutera permai roa malang utara tambora
82431,warkop ingsun,warkop inggil 
82460,delica art graphic,delicacies art grapari wolter monginsidi 
82477,ayam geprak sambal bawang mbak is,ayam geprek sambel bawang mbak is 5 bandungrejosari
82482,roppan sgb,ropang sgb sawungg 
82493,hardani sh & associates,hardware sh associates rungkut asri xv 
82502,pesantren al qur'an darul mahmudah,pesantren al qur darul mahmudah bima sakti 2 notaris d10 7 45673 mundu
82503,wedangan mas kodok,wedangan masjid kodok monginsidi gilingan
82528,ayunda rumah fashion,ayu rumah fashion pangkas jayakarta masigit
82574,min muara halayung,minang muara halayung jalan pangkas abd 
82591,sdn sambirejo,sdn sambi keripik 10 kadipiro
82604,poliklinik pt letawa-astra al.,poliklinik pt letawa astra al tikke raya
82606,restu tawangmangu jaya,salak 8 notaris 178 restu tawang jaya
82614,sari prakarsa nusantara pt,sari praktek nusantara pt sultan iskandar muda notaris 18 rw 7 kebayoran lama utara kebayoran lama
82624,abdi agung distributor atk harga termurah,abdi agung distributor atk harga terminal perintis kembar notaris 9
82635,gibeon ud,gibran ud luwuk
82678,kedai samaran pecel lele,kedai sama pecel lele raya bojongk pondok kasongan landeuh
82708,d-two distro regency bpp,syarif yoes d two distro regency bpp gunung bahagia
82714,kost agus susanto pratomo,kost agus susanto pratama candi pangkas 
82717,chiera net,chi net 
82747,smut sublim,smut sub perintis
82793,pesantren ma'had amaliyyah qur'ani,pesantren ma amali qur ani baleendah baleendah
82807,kamarudin,kamar bintang
82830,rs nyai ageng pinatih-er,rs nyai ageng pinatih kh abdul karim 
82833,penang paradise,penyet paradise letj s parfum palmerah
82875,sepatu & sandal,sepatu sandal saleh baitul cimuncang
82877,taman pendidikan al-qur'an (tpq) al huda,taman pendidikan al qur an tpq al huda sobontoro boyolangu
82892,bintang selluler,bintang sellular raya bogor kramat jati
82896,kremes typical banana pontianak,kremes typical ban pontianak lontar raya kebon kacang tanah abang
82903,ernita collection,ernadi collection sinar banten talang padang
82969,slim & health sport theraphy,slim health sport theraphy tanjung duren timur 2 tanjung duren selatan grogol petamburan
82980,kuliner betawi nasi uduk goreng jengkol hj. icih jl. strada 1 no 37 kranji,bintang raya 6b kuliner betawi nasi uduk goreng jengkol hj icih jl strada 1 notaris 37 kranji 
82981,es kelapa muda omber selawase,ki hajar dewan 235 es kel muda omber selawase kalinyamat kulon
82994,ngasem kel.,ngasem kel ngasem ngajung ngajum 
83001,warung giras rel bu anik,warung giras reload bu anik semeru baru sememi
83003,lorena karina. po,lorena karisma po
83004,unit pelayanan perempuan dan anak (uupa),unit pelayanan perempuan dan anak uu mayora ismail husen 
83015,henika celluler,hendra cell abdullah daeng sirua panakkukang
83024,agenpos ganiyyu,agenpos gani rungkut madya rungkut kidul
83041,fortunate coffee,taman palembang lestari notaris 71a fortu coffee rta 5 rw 16 cengkareng barat cengkareng
83043,toko gtd parigi,toko gtd parfum raya parigi 
83063,bank bri unit masaran,bank bri unit masakan raya solo s jati masaran
83068,lembaga bahasa & program pendidikan,lembaga bahari program pendidikan margonda raya kemirimuka
83070,mushalla baitussalam,musholla baitussalam perum palm asri 2 dukuhwaru
83110,warteg ibu shinta,warung ibu shinta persada raya
83139,warung kristian,warung kristen pejaten timur pasar minggu
83159,urbane community,urbano community sumur bandung lebak siliwangi
83172,"jessica catering, snack, bakery",jesslyn catering snack bakery wates
83188,seruling perkasa pt,sumur batu raya notaris 12d seruput perkasa pt rw 5 cempaka baru
83195,maubel putra madiri,mau putra madura wonogiri rejo gandusari
83198,suzuki finance indonesia (sfi). pt,raya sambi k suzuki finance indonesia sfi pt ringinharjo rejo ringinrejo
83215,puskesmas pembantu desa batu nindan,anjir seragam puskesmas pembina desa batu nindan basarang jaya
83225,agen pos susukan,agen pos susu susukan ciracas
83237,yayasan melania jakarta,yayasan melawai jakarta permai negeri rawa sari
83246,depo isi ulang aqua nikmah,depo isi ulang aquarium nikmat kaliboto lor
83282,rental komputer,rental komplek pulau bacan 
83283,toko alberkat,toko albert petuk katimpun
83314,mas darul hikmah,masjid darul hikmah koto baru
83346,rumah sakit cakra mandiri pratama. pt,rumah sakit cakra mandiri pratama pt jenderal gatot subroto batununggal
83360,toko beras atamak jaya,toko beras ata jaya taman kuta
83364,susteran abdi kristus-ngawi,susteran abdi kristus dip ketanggi ngawi
83377,marantiah jok,maranatha jok raya setu ban gebang notaris 39 mustika jaya
83382,satlantas polrestabes makassar,satlantas polres makassar ahmad yani notaris 9
83384,pacific capoital sejahtera,pacific capo sejahtera imam bon 4 
83395,mutiara jati cikande indah,leuwilimus mutiara jati cikarang indah perum cikarang indah a5 17 cikande
83399,bimba-aiueo pondok cibubur,bimba aiueo pondok cibubur pedur depok cisalak pasar
83409,harmoni depot,harmony depot dermaga notaris 16 samarinda kota
83416,sukiswo ac mobil,suki ac mobil raya london lontar sambikerep
83421,kantor kua banggae,kantor kua bang taratak sutera
83467,bela utama lines. pt pelayaran,belajar utama lintas pt pelayaran puri anjas tawang sari
83469,cv. anugrah dua bersaudara,cv anugrah dua bersaudara let m t haryono gunung bahagia balikpapan selatan
83492,mustika karya-ho,mustika karyawan jelambar utara 
83506,"indarti, sh & rekan",indarti sh rekan titim sadang serang
83507,mts hidayatullah,mts hidayat raya bram karangawen
83542,pt. asrigaha ciptanusa,pt asri ciptanusa palm barat notaris 22 7 10270 tanah abang
83548,lalada rawit,laluna rawit k h wahid hasyim babakan asih bojongloa kidul
83557,rockdil cafe,rock cafe raya gunung cupu
83563,bayu service komputer,bayu service komplek rawa 24 teluk dalam
83571,masjid al mu'minin,masjid al mu minin poros anga 93862
83636,kb gotong royong,kb gotong roy gajah
83645,madrasah ibtidaiyah darulhuda,madrasah ibtidaiyah darul kh agus salim 
83649,anugerah diantas pt,anugrah diantas pt 3 15441 ciputat timur
83653,sekolah menengah kejuruan (smk) mutiara,sekolah menengah kejuruan smk mutiara 
83705,harris tebet-pnt jln kh. a syafi'ie,har tebet jln kh a syafi ie kh abdullah syaf manggarai selatan tebet
83717,omahkost putih medina,sidoarum omah putih medina ambarketawang
83727,house of lin salon & bridal gallery,house of lintas salon bri gallery jenderal sudirman 
83776,riva karya. cv,riva karang cv veteran padang barat
83777,delita expres travel,teungoh manim notaris 167 del expres travel tatura utara
83783,kusumaputri santosa. pt,kusuma santoso pt sambel 4 kebayoran baru
83798,sofiaton,sofi macan lindu notaris a 62
83808,gado-gado cemara wahid hasyim,gado gado cemara wahid hasyim k h wahid hasyim menteng
83809,sekolah dasar negeri ploso kerep 2,sekolah dasar negeri ploso kereppare 2 ken sanan wetan
83819,sd negeri 4 angseri,sd negeri 4 angsana 
83824,pura puseh banjar adat merita,pura puseh banjar adat merapi
83855,osakan s puff,osa s puff rw 21 kelapa gading
83861,bengkel_rohani,bengkel ruko niaga kali notaris d 22 jati mulya
83890,toko selvan,toko selera raya jombang perigi
83896,kwarcab banjarmasin,kwartir banjar kambing kertak baru ulu
83904,ui-gedung vii fib,ui ge vii fib prof dr nugraha not beji
83930,dr. hj siti nurwan m si,dr hj siti nur m si 
83938,media advokasi,media advokat ra abus 
83958,surya cemerlang. cv,surya cemerlang cv pangkas sudirman notaris 67
84030,fidelia salon & spa,fidelia salon spa raya bekasi medan satria medan satria
84055,lucien foncel,luc foncel raya servis
84058,toko sepatu azahra,toko sepatu aza sunan dragon rejo mulyo
84087,"zakiyah catering,cake and snack",desa cimun notaris 24 zaki catering cake and snack 
84107,car washbwp,car wash manjung sawit
84121,almer's cakery,durian payung almer cakery raden saleh 40 35215 telukbetung utara
84126,cv.surya prima teknik,cv surya prima teknik
84133,wonderful citamiang pun bogor camp,wonderful citamiang puncak bogor camp ci tugu utara cisarua
84134,toko gantri,toko gangga lintas sumatera sorolangun bangko aur gading sarolangun
84151,warung makan pak suratno,warung makan pak surabaya raya barat 
84155,garage kolik autocare,garage kolik auto wedi
84175,bank internasional indonesia (bank bii),bank international indonesia bank bii wolter monggo notaris 45 rw 1 12180
84188,taman pendidikan al-qur'an roudlotul muttahidah,taman pendidikan al qur an roudlotul muttahidah 
84202,meenum sawangan,meenum sawahan raya keadilan pancoran masjid
84204,toko kunci dan sanitary tandjaya,toko kunci dan sani tandiyo ikan hiu pesawahan
84206,kantor urusan agama (kua),kantor urusan agama kua jenderal ahmad yani kauman
84208,nabila pusat krupuk kulit asli,kalibaru timur medan satria notaris 2 nabila pusat krueng kulit asli medan satria
84233,talang banjar,talang ban jenderal gatot subroto notaris 222 sungai asam
84244,"notaris arinta setyawardani, s.h.,m.kn",notaris ari setyawardani s h perum puri indah 
84265,tahu tuna pacitan,tahu tuna pacific raya lorok ngadirojo
84275,toko sudarti,toko sudarso let jenderal r suprapto kuwaron
84294,nalko. cv,nalens cv 
84332,praktik perawat melia husada,karangcengis praktek perawat melia husada 53382 bukateja
84334,sibayak ponsel,sibatang pondok gundaling i
84349,sekolah menengah kejuruan (smk) pgri 5 kencong,sekolah menengah kejuruan smk pgri 5 kencong dip 
84399,anah istianah,anah isti tarogong kidul
84419,kolong flyover hbr motik 2,kolaka flyover hbr motik 2 pademangan timur pademangan
84424,rina putri. cv,sb alam rina putera cv pondok ii
84462,pemancingan telaga amprong,pemancingan telkom amprong kedungkandang
84463,jasa rimba bakti. cv,jasa rimba bakery cv prof hm yamin notaris 83 jelutung
84471,"bank dagang, negara pt",bank dagang negeri pt raya mulia asri rawadalem
84496,masjid jami at-taqwa,raya cipayung warung ban masjid jami at taqwa cipanas
84525,smp it al hikmah buay bahuga,smp it al hikmah buay bahari 
84548,double click.com,bukit baja sejati notaris 71 double click com ciwaduk
84551,warkop wasilah,warung wasilah raya modo 
84552,wm gado - gado es pankuk pak yono,wm gado gado es pantai pak yono peku timur pekunden
84563,artamas jaya plastik,arta jaya plastik man tirto raya menur pumpungan
84567,komp.unitex,komplek u jl me vii notaris 9 rta 3 6 sindangrasa bogor timur kota
84573,musholla al-ikhlas desa tiram,musholla al ikhlas desa tiram 
84591,tk perintis gilirejo,tk perintis gili suruh
84607,apotik monalisa,apotek monalisa soe
84620,pangkalan lpg budi supriyadi,pangkalan lpg budi supri raya palembang pangkalan balai banyuasin iii
84641,budiyono,budi brigjen katapang wonogiri sari wonosari
84663,indosurya simpan pinjam,indosurya simpan pinang belajar pasar baru 1 sawah besar
84665,dinas kelautan dan perikanan kab. jeneponto,pelita dinas kelautan dan perikanan kab jeneponto empoang
84673,warkop seje dewe,warung seje dewe 
84689,ud. roswita delima,ud roswita del manggar koja
84721,mie ayam mawadah,mie ayam mawaddah raya r a basuni 
84745,bosowa utama. cv,gunung lompo battery lor 96 8 bos utama cv pisang utara ujung pandang
84765,mushalla al hidayah,musholla al hidayah 69362
84801,"pelabuhan tadette,,,",pelabuhan tadette 
84809,winwin,win jenderal ahmad yani suci
84811,technotel aneka ponsel,ir h juanda 59 technical aneka ponsel bandung wetan
84817,"makmur laras bahari, pt",wijaya kesuma makmur laras bahari pt daan mogot 117 2
84821,rm takana juo 3,rm taklim juo 3 jateng timur
84853,cafe nasgor gg. kresek,cafe nasgor gg kreasi kapuk kamal raya kamal muara
84860,pansit jumbo,pantai jumbo gereja siantar selatan
84891,penggemar sate kiloan (psk),penggemar sate kiloan psk raya puncak ciawi pandanaran sari ciawi
84971,mediaa cell,medika cell wonogiri pegirian
84985,kios buah kinarcupa sikumbang,kios buah kinar sikumbang raya cadas kukun pasar kemis
84986,kelapa muda,kel muda setia budi tanjung sari
84997,kompek green yakin,simpang empat komang green yakin jl a yani 10 kertak hanyar
85006,smk tarbiyatul aulad cikajang,smk tarbiyatul aulad cikarang permai giri giriawas
85025,reza carissa alfasa,reza caringin alf kudus wates undaan
85050,ud soewodo,ud soewondo denki 
85065,masjid al-ikhlas,masjid al ikhlas tomohon
85101,pisang kremes asanjaya,pisang kreasi asanjaya kp bulu tambun selatan
85121,alfaconk,alfamart cidahu
85124,vapers singit mini store,vapers sin mini store cipayung kebe 3 notaris 3 11
85140,hanafiah ponggawa bangun,hanafiah pong ban pangkas hidayah samarinda kota
85143,yayasan bina potensi warga indonesia,yayasan bina pote warga indonesia dewi sartika notaris 192
85150,tongseng bu sumirah,sandi tong bu sumirah gondomanan
85163,toko lautan berlian,flamboyan notaris 81 toko lau berlian 
85172,berangkat umroh duluan,beran umroh dul veteran banjarmasin timur
85176,warteg safari,glodok warung safari kemurnian 4 notaris 2 rw 4 11120
85223,dame fotokopi,dame foto raya cimanggu tanah sereal
85262,sinar langkat,sinar langgeng sutera medan timur
85271,yayasan ma'arif,yayasan ma arif sultan agung 
85272,masjid al-hidayah,masjid al hidayah puron bulu
85285,sabana fried chiken,sablon fried chiken r e martad cikarang utara
85287,musholla al-ihsan gomboh,musholla al ihsan gomboh
85291,sumber kencana. cv,sumber kencana cv kauman gang 6 siwalankerto
85301,pasar deprok,t1 10 cipinang muara pasar depok 3 jatinegara
85305,toko mas herman,toko masjid herbal pemetung bendogerit
85313,pt. dewa sutratex,pt dewa sutrisno cibatok melong
85320,tk lamode kids,tk lam kids pahlawan servis notaris 33a
85337,ibu padlah,ibu padang 
85342,seblak serasa,seblak servis gunung puyuh
85344,fachri cell,factor cell letjen h mashudi setiaratu
85350,king optical,king optikal cipamokolan notaris 90
85367,setia jaya andalas pt,cikijing setia jaya anda pt rw 3
85391,apartemen marbella kemang tower b unit 10-07,apartemen marbella kembar tower b unit 10 07 jl ban raya pelangi mampang mampang prapatan
85395,alfamrt b957 cpjg cipa,jelegong alfamart b957 cpjg cipayung raya ranca 40394
85409,masjid al-hasanah,masjid al hasyim badur batuputih
85412,warsab,warung dg tantu tallo
85430,lembaga kursus dan pelatihan (lkp) miftahul jannah,lembaga kursus dan pelatihan lkp miftahul jannah haji mug 3 pisangan timur
85459,toko bangunan loga mulia,toko bang loga mulia kolonel sudiarto tegal timur
85479,nafita,nafiri man dua raya ancol pademangan
85498,putra melayu,putra melati medan batang kuis bakaran batu batang kuis
85511,kin's barber shop,kin s bar shop demuk kalangan ngunut
85546,rumah makan si tangkai raya,rumah makan si tang raya pajajaran raya 20 pamulang barat pamulang
85558,kepal dancow,kepal dan raya gabus wetan gabuswetan
85578,pt. artha utama mandiri - g'zox car detailing partner indonesia,ciputra raya 1 pt artha utama mandiri g zox car detailing partner indonesia rw 8
85613,"university of indonesia, fakultas teknik universitas indonesia",kampus ui kukusan university of indonesia fakultas teknik universitas indonesia beji
85647,kecamatan rajabasa,kecamatan raja pramuka 
85688,netral motor,net motor haji umar 9c
85707,toko iyang basuni,toko iyang basuki ir h juanda margahayu bekasi timur
85710,bengkel seroja jaya motor,sei sikambing b bengkel servis jaya motor medan sunggal
85712,pt. rizwel indonesia,pt riz indonesia let m t haryono gunung bahagia
85713,indomaret stasiun balapan,indomaret stasiun balance monginsidi
85715,asosiasi psikologi islami-sleman,asosiasi psikologi islami sleman kaliurang 5 55584 ngemplak
85735,soto tikungan,soto tiku suka
85744,telekomunikasi indonesia tbk. pt - teluk kuantan,permai panorama indra telekomunikasi indonesia tbk pt teluk kuantan tenayan raya
85762,klinik kuncup ceria,klinik kuning ceria bhayangkari prajurit kulon
85777,warga eramas 2000,warga era 2000 era 2000 pulo gebang cakung
85787,toko perlengkapan bayi bebitera,toko perlengkapan bayi bebilot panggel kertaraharja
85822,sequis life matahari-9,the tarn 9 notaris bf 46 sequis life matahari 9 
85848,dokter pahmi budiman s b sp tht kl,dewi sartika d1 1 dokter pahmi budi s b sp tht kl
85870,mpb babakan madang cit,mpb baba madura cit baba madura babakan madang
85878,mi khoirul huda pabean sedati sidoarjo,mi khoirul huda pabrik sedati sido pabrik asri pabean
85887,toko sanjai,toko sandal kepala tabam meranti jaya merigi
85896,pt. pudjipapan kreasindo,pt pudjipapan kreasindo 
85903,cv. mahesa nusantara,perintis kemerdekaan notaris 244 cv mahesa nusantara 9 banyumanik
85949,pesantren daarul arofah haromain,pesantren daarul aro haromain
85950,pura merajan agung,pura meranti agung denpasar g sambel sambel kerambitan
85978,kampus cahaya surya kediri - kampus 2,kampus cahaya surya kediri kampus 2 perintis kembar
85985,sd it persis tarogong,sd it permai tarogong terusan pempek
85992,bubur ayam priangan,bubur ayam pria titi
86002,laundry karpet,laundry karang ban bekasi
86050,wartel taufan,kedaung kali angke warung taufan jembatan ganteng notaris 33 rta 7 rw 8 11710 cengkareng
86052,mi-mts-ma madrasah pembangunan,mi mt madrasah pembangunan ibnu taimiyah iv notaris 155 rw 8 ciputat timur
86054,solear kel.,solusi kel 
86083,universitas mercu buana,universitas mercurius buana merapi selatan meruya selatan kembangan
86113,komunitas tanggulan bersatu,dago pojok dago komunitas tanggulan bersama coblong
86115,smk swasta pgri ngetos,smk swasta pgri ngesti bar 
86120,flexograf jayatama. pt,flexograf jayatama pt keutapang krukut taman sari
86142,purwandi - chc,purwanti chc sawojajar panembahan kraton
86146,pizzeria italia,pizzeria ita lab kuta selatan
86172,apotek generik,apotek general nyaman ciracas
86184,sekretariat pengurus pemuda gkps,sekretariat pengurus pempek gkps 
86228,suliyem,suli 
86238,kelompok bermain tunas seruni,kelompok bermain tunas servis teratai 
86284,gatari air service. pt,gathes air service pt nuri tuban kuta
86290,seblak mamamia lopang,seblak mama lopang griya lopang
86292,smash and shake-ho,smash and shakira sulan 
86303,p. hizbul bakar,klegen p hizbul bakar slamet riyadi notaris 24
86305,griya muslim nad vada,griya muslim nadine vada perum singosari
86312,adek's saloon,ade saloon laksana kota matsum i
86334,apotek salman farma,apotek salero farma raya gangga sindang cintakarya
86339,potong rambut al's barbershop rider,potong rambut al s barbershop rider 
86348,zikra annaurah,zikra anna tampan payung sekaki
86365,pt lamboy,pt lam nusa indah 2 darat sekip pontianak kota
86366,kantor lurah desa tayuban,kantor lurah desa tayu ki hadi sugito 
86367,masjid jami baitul mu'minin,masjid jami baitul mu m raya pacit tegalombo
86424,seblak munjul,seblak muncul 
86428,tukinawa art studio,tukiyar art studio toko adat 
86442,grand furniture store (gfs) - medan,grand furniture store gfs medan prof haji m yamin sh iii 
86448,pt mitra abadi lintas generasi,pt mitra abadi lintas general teuku umar satreyan
86456,bi dan roidah,bi dan roicha tanjung
86471,citywalk,city kebon jati
86476,kav cantilan,kav cantique kel dua gg atas kagungan serang
86481,serayu,servis mendu kartasura
86501,irsani mandiri pt,irsyad mandiri pt karya karang berombak
86514,ud rahmanto,ud rahmatan wijaya wijaya kesuma grogol petamburan
86518,toko rencar,toko rental penun harapan tani kempas
86526,komunitas pecinta al qur'an buton,komunitas peci al qur buton pahlawan kadolo katapi
86557,kantin bandara silangit,kantin bandara silalahi raya muara silando
86563,halimatus,halim rambipuji
86580,tk. fotocopy syifa,ciracas tk foto syifa jl kapr rta 10 4 ciracas
86589,pesantren matras,pesantren mat rumbai
86600,hj. jumadi,hj jum sunan gesang
86605,bengkel bubut & las lestari,bengkel bubut las lestari raya klari klari
86618,rofiatun,rofi bugel notaris 1 bugel
86626,warung pappys,warung pap kubu anyar kuta
86656,easy tours and travel,easypay tours and travel jolotundo baru i pacar keling tambaksari
86693,kiddos clothes,kid clothing cimanggu jayawaras tarogong kidul
86696,nugi j. collection,nugi j collection plumbon semeru 
86714,al farisa mart,al farida mart setia bakti medono
86728,million moda,mill moda imam bon notaris 1
86757,mie ayam davinci's,mie ayam davin tembakau sukarami
86767,permana jaya komputer,permana jaya komplek raya cimalati suka sari
86796,opera mini labs bahasa ngapak banyumasan,kemerdekaan timur operation mini labs bahari ngasem banyumasan
86820,himpunan nelayan seluruh indonesia prop jateng,dr surabaya notaris 176 himpunan nelayan seluruh indonesia property jateng rw 12 kembangarum semarang barat
86841,wartel muslihat 1,warung muslihat 1 46211
86864,bianca orthodontic,bia orthodontic kh agus salim bekasi timur
86869,smp raden rahmat surabaya,smp raden rahayu surabaya karang rejo ix 
86943,lumbini pie susu,lumbung pie susu mirah hati 
86958,musholla al-kautsar,musholla al kauman 
86965,kios ngatinem,kios ngatemi imogiri imogiri
86992,angkringan abah sinder,angkringan abah sin cidaun raya kedawung
87024,sekar surya. cv,sekar surabi cv jeruk purut gempol
87066,komplek kaban center,tanjung sari komplek kabanjahe center setia budi 10 20133 medan selayang
87098,rm.sri rezeki,rm rezeki cilik riwut 
87110,taman mutiara legon g-10,taman mutiara legon g 10 jl raya pamengkang mundu
87113,mamets galeri akustik,mampir galeri akustik jamblang
87114,lancar jaya motor,lantai jaya motor pangkas antasari air hitam samarinda ulu
87133,pp. raudlatut thalibat tanggir,pp raudlatul thalibat tanggir 
87168,kantor dpd partai golkar kabupaten kebumen,kantor dpd parfum golden kabupaten kebumen ahmad yani 
87172,warung sepasang rajawali,warung sepakat raja hayam wuruk sempusari kaliwates
87175,de' kedai warung pempek,de kedai warung pempek geg lebak 2 gegerkalong
87184,taman ra kartini,taman ra kartika ra kartika notaris 23 kampung dalem
87185,stasiun bandara soekarno-hatta,stasiun bandung soekarno c3 pajang
87196,lang jaya makmur bersama. pt,kampus vii notaris 22 langgeng jaya makmur bersama pt
87228,serbaneka,serba imam bon 
87262,kopite bird farm,swasembada barat 22 24 kopkar bird farm rw 12 kebon bawang
87269,dafita cell,daftar cell dharma wanita 1 duri kosambi cengkareng
87290,kantor notaris & ppat h asman yunus sh,jenderal sudirman notaris 6 kantor notaris ppat h asman yunus sh simpang tiga
87296,press ban parayu ate,press ban parfum ate sudirman 
87342,garuda mur baut dan alat alat teknik,garden mur baut dan alat alat teknik garden depok
87346,agen fiforlif ladyfem,agen fiforlif lady buah batu cijagra
87387,rhalis,rharha simpang pantai labu alue ie puteh
87388,al-fika computer,al f computer raya jepara wedelan
87389,agung cell sampan,agung cell sambel raya pari sici
87402,kholik cell,khoiru cell 
87409,cozy resto steamboat,cozy resto steam 
87420,kb sekar bangsa,kb sekar ban pesalakan pesalakan bandar
87426,kantor notaris & ppat widiana rani nurdin,kantor notaris ppat widi rani nur sultan hasan tambun selatan
87429,japanese catering service - sadari,japanese catering service sadang a cipinang muara
87444,mushalla at taqwa,musholla at taqwa lengkong
87445,kedai harian bu nonong,kedai har bu non hang tuah 
87446,mana eatery,manager eat raya ceger notaris 38 rw 1
87453,shelly salom bridal,shelly salom bri nasgor 
87459,gilank shop,gilang shop raya kalia tengah kaliabang tengah bekasi utara
87480,furnama motor,moh rambut notaris 166 furn motor
87483,ny. siti marchamah,ny siti marchamah ahmad yani 
87489,aeroland residence,jurumudi aerobic residence halim perdana kusuma notaris 15124 rta 3 5 15124 benda
87576,sekolah dasar negeri sirani,sekolah dasar negeri siradj atambua kota
87603,apotek sukarindik,apotek sukari suka ringan
87621,space ranger,space rangga jawa gang buntu medan timur
87635,sudani ni nyoman amd keb,abian tuwung sudiro ni nyoman amd keb 82171
87652,indopay merchant services pt,indo merchant services pt dukuh pinggir 2 kebon melati tanah abang
87655,"klinik dr syamsul burhan, spb.",klinik dr syamsul burhan spb jenderal sudirman banyuurip
87659,multi sarana computer. pt,multi sarana computer pt kalimantan 
87670,matahari putra prima. pt tbk,mataram putra prima pt tbk mh thamrin medan perjuangan
87672,lembaga kursus pelatihan smart school dewa dewi,lembaga kurnia pelatihan smart school dewa dewi kolaka
87680,panti asuhan yatim piatu al-hasanat,panti asuhan yatim piatu al hasanat pancing barat vii b pancoran
87691,kantor desa sukasari,kantor desa suka
87718,wedatama putra,prof moh yamin wedangan putra 
87723,fuad elektrik. cv,fuad elektrik cv bar selat tengah
87737,baju samase,baju sambel cikarang 
87771,muslimin,muslimat peninjauan
87772,semanan,semarang cipondoh
87785,"01 ""kantor",01 kantor jaha dalam 1 rta 11 rw 1 kalisari pasar rebo
87791,wahesa mini market,wahana mini market
87814,masjid thorikul jannah,masjid thoriqul jannah
87820,warung nasi goreng mas joko,warung nasi goreng masjid joko cipto mang bontang utara
87822,perfake store,perfume store rancakadu babakan
87839,sekretariat partai nasdem,sekretariat partai nasgor raya garum 22
87855,pt. megah primatama mulia,pt megah prima mulia jenderal sudirman simpang empat
87861,nasi gorenag pak hati,nasi gorengan pak hati veteran purwakarta
87864,queen's hijab,queen hijab prapatan
87865,aneka elektrik,aneka elektro veteran 
87889,toko malisa,toko malang raya cangehgar citarik
87892,setra seraya tengah,setra servis tengah seraya karang asem
87917,pt. indo tahima jaya,pt indo tahzan jaya 
87939,q'daya bengkel motor,q daya bengkel motor k h muchtar tabrani perwira
87950,koinus,koi perguruan budhi notaris 27
87953,badra boga qarunia (bebeque),badra boga qarunia bebeque betet ix cibodasari
87958,gaul cellular,gaul cell raya leuwinanggung tapos
87974,toko. sumber rejeki,toko sumber rejeki
87987,kalijaga permai barat,kali permai barat melati notaris 1
88072,sri robiyati,sri robi solo purwodadi tuban
88073,airy keraton solo veteran,airy keramik solo veteran as moro
88076,stasiun sawah besar-jalan krekot jaya 1,stasiun sawah besar jalan krekot jaya 1 kreasi jaya 1 pasar baru
88077,informa elektronik,info elektronik boulevard bintang jaya pondok jaya
88083,mi swasta islamiyah bumiayu,mi swasta islam bumi 
88085,bengkel engine sulton tehnik,green garden raya 2 1 bengkel enggal sulton tehnik rw 2 cilincing
88138,ruko gading river view h38 (city home,barat kelapa gading ruko gading river view h38 city home boulevard barat raya kelurahan rta 18 8 kelapa gading
88146,afi group (amanah fadhilah insani),swata 4 notaris 11 afi group amanah fadhilah insani 
88150,conbloc indonesia surya manado. pt,winangun i conbloc indonesia surya manado pt citra land city of blessings notaris 7 95161 malalayang
88162,ud. aguila,ud agung virgo tambaksari
88184,kantor lurah kampungapar,kantor lurah kampungbaru desa muara beliti baru
88189,griya nitikan,griya niti griya niti 
88210,panwascam banyuasin iii,panwascam banyu iii banyuasin iii
88224,bangsal kayu uzzamah,lintas timur bang kayu uzzamah 
88229,mi ar-rahmat sukarame,mi ar rahmat suka cipedes
88283,sma negeri 1 cililin,sma negeri 1 ciliwung raya cililin cililin
88311,teguhsati citra media pt,teguh citra media pt cempaka putih tengah 26
88325,badan amil zakat nasional kota pariaman,badan amil zakat nasi kota pari imam bon cimparuh
